,date,county,city,age_group,population,atleast_onedose,fully_vaccinated,boosted,boosted_second,partially_vaccinated
90486,2021-11-02,Suffolk,Revere,12-15 Years,2613.0,2137.0,1869.0,,,268.0
90487,2021-11-02,Suffolk,Revere,16-19 Years,2844.0,2392.0,2087.0,,,305.0
90488,2021-11-02,Suffolk,Revere,20-29 Years,8303.0,7587.0,6546.0,,,1041.0
90489,2021-11-02,Suffolk,Revere,30-49 Years,17705.0,16576.0,14811.0,,,1765.0
90490,2021-11-02,Suffolk,Revere,50-64 Years,12184.0,10443.0,9510.0,,,933.0
90491,2021-11-02,Suffolk,Revere,65-74 Years,5047.0,4555.0,4105.0,,,450.0
90492,2021-11-02,Suffolk,Revere,75+ Years,4312.0,3333.0,2853.0,,,480.0
90493,2021-11-02,Suffolk,Revere,Total,60849.0,47023.0,41781.0,,,5242.0
93457,2021-11-09,Suffolk,Revere,5-11 Years,4263.0,56.0,,,,56.0
93458,2021-11-09,Suffolk,Revere,12-15 Years,2613.0,2153.0,1880.0,,,273.0
93459,2021-11-09,Suffolk,Revere,16-19 Years,2844.0,2397.0,2097.0,,,300.0
93460,2021-11-09,Suffolk,Revere,20-29 Years,8303.0,7650.0,6599.0,,,1051.0
93461,2021-11-09,Suffolk,Revere,30-49 Years,17705.0,16655.0,14841.0,,,1814.0
93462,2021-11-09,Suffolk,Revere,50-64 Years,12184.0,10549.0,9559.0,,,990.0
93463,2021-11-09,Suffolk,Revere,65-74 Years,5047.0,4631.0,4129.0,,,502.0
93464,2021-11-09,Suffolk,Revere,75+ Years,4312.0,3354.0,2868.0,,,486.0
93465,2021-11-09,Suffolk,Revere,Total,60849.0,47445.0,41973.0,,,5472.0
96490,2021-11-16,Suffolk,Revere,5-11 Years,4263.0,233.0,,,,233.0
96491,2021-11-16,Suffolk,Revere,12-15 Years,2613.0,2168.0,1895.0,,,273.0
96492,2021-11-16,Suffolk,Revere,16-19 Years,2844.0,2407.0,2103.0,,,304.0
96493,2021-11-16,Suffolk,Revere,20-29 Years,8303.0,7713.0,6643.0,,,1070.0
96494,2021-11-16,Suffolk,Revere,30-49 Years,17705.0,16777.0,14968.0,,,1809.0
96495,2021-11-16,Suffolk,Revere,50-64 Years,12184.0,10642.0,9631.0,,,1011.0
96496,2021-11-16,Suffolk,Revere,65-74 Years,5047.0,4714.0,4184.0,,,530.0
96497,2021-11-16,Suffolk,Revere,75+ Years,4312.0,3392.0,2913.0,,,479.0
96498,2021-11-16,Suffolk,Revere,Total,60849.0,48046.0,42337.0,,,5709.0
